,Trial #,# of Topics,Topic #,Top Words,Label(s),Interpretability,Related or Similar to,Notes
35,Trial #7,9,3,"wear, jacket, color, shirt, pair, style, casual, suit, shoe, outfit, dress, black, fit, sweater, boot, brown, white, sneaker, leather, nice, different, jeans, light, polo, pants",,,,
36,Trial #7,9,4,"car, small, pretty, brand, factor, meal, super, big, love, wallet, desk, nice, phone, old, different, cool, new, size, stuff, drive, eat, sort, gift, key, link",,,,
37,Trial #7,9,5,"fragrance, smell, scent, wear, note, cologne, love, check, fresh, definitely, warm, recommend, bottle, compliment, list, different, base, new, clean, nice, woody, masculine, spray, light, smooth",,,,
38,Trial #7,9,6,"wear, shoe, money, brand, love, high, new, quality, boot, bag, testosterone, spend, mean, cheap, long, fit, pretty, stuff, low, big, case, check, number, leather, size",,,,
39,Trial #7,9,7,"wine, love, new, body, old, beard, cool, mean, big, sure, help, long, stuff, hair, house, pretty, today, different, okay, nice, link, check, product, razor, sort",,,,
40,Trial #7,9,8,"hair, skin, face, product, body, long, apply, hairstyle, number, wash, help, oil, step, eye, water, dry, type, sure, second, bad, tooth, routine, easy, attractive, style",,,,
41,Trial #7,9,9,"style, wear, jacket, dress, shirt, clothing, classic, fit, color, old, suit, casual, wardrobe, love, pair, list, check, shoe, winter, add, outfit, piece, blazer, leather, choice",,,,
42,Trial #8,10,1,"wear, shirt, fit, dress, outfit, shoe, pants, color, belt, short, style, button, long, suit, casual, collar, sure, jacket, big, sleeve, black, mean, nice, different, jeans",,,,
43,Trial #8,10,2,"life, woman, help, new, old, tell, mean, friend, change, love, learn, relationship, number, self, body, today, money, goal, build, hard, stop, confidence, respect, easy, care",,,,
44,Trial #8,10,3,"wear, jacket, color, shirt, pair, style, casual, shoe, suit, black, outfit, sweater, boot, fit, brown, dress, white, leather, sneaker, nice, light, different, jeans, dark, pants",,,,
45,Trial #8,10,4,"car, small, pretty, meal, factor, end, super, desk, brand, love, nice, wallet, big, eat, old, phone, stuff, different, cool, drive, new, size, gift, key, long",,,,
46,Trial #8,10,5,"fragrance, smell, scent, wear, note, love, cologne, check, fresh, different, warm, bottle, definitely, compliment, recommend, nice, list, new, light, space, base, spray, house, woody, beautiful",,,,
47,Trial #8,10,6,"wear, money, brand, love, new, shoe, high, quality, spend, bag, mean, pretty, long, stuff, big, boot, case, fit, nice, cheap, check, okay, number, size, expensive",,,,
48,Trial #8,10,7,"body, wine, skin, old, check, love, help, beard, clean, new, definitely, wash, testosterone, sure, razor, mean, cool, big, long, level, today, recommend, hat, health, course",,,,
49,Trial #8,10,8,"hair, face, hairstyle, product, long, body, skin, number, style, oil, cut, grow, help, shower, apply, easy, bad, water, beard, high, type, sure, dry, shave, add",,,,
50,Trial #8,10,9,"style, wear, jacket, dress, shirt, clothing, color, fit, classic, casual, suit, wardrobe, old, pair, shoe, love, check, list, winter, outfit, add, piece, leather, blazer, choice",,,,
51,Trial #8,10,10,"skin, face, girl, eye, woman, attractive, number, product, skincare, second, apply, mean, step, help, routine, wash, moisturizer, acne, notice, sure, bad, change, hand, type, tell",,,,
52,Trial #9,11,1,"wear, shirt, fit, dress, shoe, pants, outfit, color, belt, short, style, long, button, suit, collar, casual, sure, sleeve, big, jacket, mean, black, nice, jeans, different",,,,
53,Trial #9,11,2,"life, woman, help, new, old, tell, mean, change, love, friend, learn, relationship, money, self, today, confidence, build, goal, respect, hard, easy, care, stop, number, somebody",,,,
54,Trial #9,11,3,"wear, jacket, color, shirt, pair, style, casual, suit, shoe, black, outfit, sweater, dress, brown, fit, boot, white, leather, sneaker, nice, light, different, jeans, dark, blue",,,,
55,Trial #9,11,4,"car, pretty, small, super, desk, factor, meal, brand, end, old, nice, love, drive, stuff, new, big, cool, sort, gift, phone, different, eat, link, key, size",,,,
56,Trial #9,11,5,"fragrance, smell, scent, wear, note, cologne, love, check, fresh, warm, definitely, bottle, compliment, recommend, list, different, base, spray, woody, new, spicy, nice, clean, masculine, light",,,,
57,Trial #9,11,6,"wear, money, love, brand, new, shoe, high, boot, quality, bag, pretty, spend, case, nice, mean, fit, big, stuff, long, cheap, check, leather, okay, size, small",,,,
58,Trial #9,11,7,"body, wine, skin, testosterone, help, old, level, check, new, long, love, mean, wash, health, clean, sure, definitely, big, razor, today, natural, hat, stuff, okay, happen",,,,
59,Trial #9,11,8,"body, number, sleep, minute, morning, bad, increase, drink, study, testosterone, eat, fat, habit, hour, water, stop, second, high, level, brain, wake, life, shower, bed, instead",,,,
60,Trial #9,11,9,"style, wear, jacket, dress, shirt, clothing, fit, color, classic, casual, suit, wardrobe, old, pair, shoe, love, outfit, check, list, piece, leather, add, blazer, winter, design",,,,
61,Trial #9,11,10,"skin, face, girl, eye, product, apply, skincare, number, attractive, wash, moisturizer, help, second, step, routine, mean, acne, bad, oil, pore, woman, type, sure, ingredient, tell",,,,
62,Trial #9,11,11,"hair, face, hairstyle, product, long, beard, style, grow, skin, easy, body, sure, add, cut, help, oil, type, shape, attractive, head, texture, number, dry, cool, different",,,,
63,Trial #10,12,1,"wear, shirt, fit, pants, shoe, outfit, dress, belt, short, color, style, long, button, casual, collar, sure, sleeve, suit, big, nice, black, mean, jacket, different, jeans",,,,
64,Trial #10,12,2,"life, woman, help, old, new, tell, change, relationship, learn, friend, mean, love, self, confidence, money, respect, goal, build, today, hard, care, stop, easy, somebody, body",,,,
65,Trial #10,12,3,"wear, jacket, color, shirt, pair, shoe, style, casual, suit, black, outfit, sweater, boot, dress, brown, fit, white, sneaker, leather, light, nice, different, jeans, dark, blue",,,,
66,Trial #10,12,4,"car, small, factor, meal, brand, pretty, desk, end, super, wallet, nice, love, size, drive, different, gift, eat, key, stuff, new, big, old, phone, fat, sort",,,,
67,Trial #10,12,5,"fragrance, smell, wear, scent, love, note, different, bottle, compliment, space, new, nice, place, spray, mean, beautiful, house, sense, light, sure, tell, fresh, absolutely, check, clean",,,,
68,Trial #10,12,6,"wear, money, brand, love, new, high, quality, bag, spend, shoe, case, mean, pretty, big, boot, long, fit, stuff, nice, cheap, check, okay, small, expensive, carry",,,,
69,Trial #10,12,7,"wine, new, love, mean, sort, cool, big, old, pretty, stuff, different, hat, okay, house, help, question, today, happen, tell, long, sure, razor, wear, link, amazing",,,,
70,Trial #10,12,8,"number, body, sleep, minute, morning, habit, study, increase, drink, brain, life, level, wake, testosterone, bad, bed, hour, stop, high, phone, second, eat, instead, night, water",,,,
71,Trial #10,12,9,"style, wear, jacket, dress, shirt, clothing, color, fit, suit, classic, casual, wardrobe, old, pair, love, shoe, outfit, check, piece, blazer, list, leather, add, especially, design",,,,
72,Trial #10,12,10,"skin, face, girl, eye, product, skincare, number, apply, wash, step, routine, second, moisturizer, help, attractive, acne, mean, bad, oil, pore, tooth, type, ingredient, tell, water",,,,
73,Trial #10,12,11,"hair, face, hairstyle, product, long, beard, style, body, grow, skin, easy, cut, sure, help, attractive, add, oil, type, shape, number, shower, head, shave, dry, old",,,,
74,Trial #10,12,12,"fragrance, cologne, scent, body, check, note, skin, definitely, smell, recommend, testosterone, fresh, warm, summer, clean, list, smooth, wash, long, love, wear, crisp, woody, base, masculine",,,,
75,Trial #11,13,1,"wear, shirt, fit, pants, outfit, shoe, dress, short, color, belt, style, button, long, casual, collar, sure, big, sleeve, suit, nice, black, mean, jacket, jeans, different",,,,
76,Trial #11,13,2,"life, woman, help, old, new, relationship, change, learn, tell, self, respect, friend, confidence, love, money, build, mean, goal, today, hard, easy, care, stop, live, focus",,,,
77,Trial #11,13,3,"wear, jacket, color, shirt, pair, style, casual, suit, shoe, sweater, black, outfit, brown, fit, dress, white, boot, light, sneaker, leather, nice, different, dark, blue, jeans",,,,
78,Trial #11,13,4,"car, meal, small, factor, pretty, desk, super, brand, drive, eat, old, nice, stuff, big, love, gift, new, fat, different, sort, wallet, link, cool, end, size",,,,
79,Trial #11,13,5,"fragrance, smell, wear, scent, love, note, bottle, different, space, nice, compliment, place, new, spray, sense, light, mean, house, beautiful, sure, clean, fresh, tell, hand, set",,,,
80,Trial #11,13,6,"wear, brand, shoe, money, love, boot, new, high, bag, quality, fit, case, pretty, leather, spend, cheap, size, long, mean, nice, check, pair, stuff, big, carry",,,,
81,Trial #11,13,7,"new, wine, mean, love, big, pretty, sort, okay, stuff, cool, old, today, long, sure, help, question, different, hat, happen, tell, health, nice, wear, razor, link",,,,
82,Trial #11,13,8,"number, body, sleep, minute, habit, study, increase, life, bad, drink, morning, high, stop, hour, testosterone, bed, wake, brain, level, instead, eat, second, phone, fat, food",,,,
83,Trial #11,13,9,"style, wear, jacket, dress, shirt, color, clothing, fit, suit, classic, casual, wardrobe, shoe, pair, old, love, outfit, check, leather, piece, list, winter, blazer, add, design",,,,
84,Trial #11,13,10,"girl, woman, attractive, number, mean, tell, somebody, bad, ask, eye, kid, friend, love, notice, date, dude, change, second, learn, point, wear, understand, instead, money, life",,,,
85,Trial #11,13,11,"hair, hairstyle, long, product, face, beard, style, grow, easy, cut, body, sure, add, shape, type, help, old, texture, head, attractive, dry, scalp, high, number, shave",,,,
86,Trial #11,13,12,"fragrance, cologne, scent, body, note, check, testosterone, smell, definitely, fresh, recommend, warm, list, summer, love, clean, wear, smooth, long, woody, masculine, crisp, base, spicy, level",,,,
87,Trial #11,13,13,"skin, face, wash, apply, product, skincare, routine, eye, moisturizer, oil, help, step, water, acne, body, second, ingredient, pore, number, dry, minute, sure, area, clean, type",,,,
88,Trial #12,14,1,"wear, shirt, fit, pants, outfit, dress, shoe, short, color, belt, long, button, style, casual, suit, sleeve, sure, collar, big, nice, black, mean, jeans, jacket, tuck",,,,
89,Trial #12,14,2,"life, woman, help, friend, learn, love, body, mean, tell, change, number, stop, old, new, somebody, money, respect, live, confidence, today, self, hard, easy, big, build",,,,
90,Trial #12,14,3,"wear, jacket, color, shirt, pair, casual, style, suit, shoe, black, sweater, outfit, brown, dress, fit, white, boot, leather, sneaker, light, nice, different, dark, polo, blue",,,,
91,Trial #12,14,4,"car, end, desk, small, meal, factor, wallet, super, pretty, drive, brand, nice, love, gift, key, phone, scarf, eat, stuff, old, big, different, long, neck, cool",,,,
92,Trial #12,14,5,"fragrance, smell, wear, scent, love, space, different, bottle, nice, place, note, new, light, sense, spray, house, compliment, mean, sure, tell, set, apartment, beautiful, absolutely, clean",,,,
93,Trial #12,14,6,"wear, brand, money, boot, love, shoe, high, new, fit, bag, quality, pretty, spend, case, long, cheap, leather, mean, big, pair, stuff, check, size, nice, small",,,,
94,Trial #12,14,7,"new, wine, love, mean, cool, stuff, big, pretty, okay, house, sort, hat, question, old, happen, different, today, nice, long, tell, set, place, wear, ask, sure",,,,
95,Trial #12,14,8,"number, body, shave, sleep, bad, sperm, underwear, minute, drink, wake, habit, mode, bed, life, hour, destroy, shower, high, study, temperature, second, school, mattress, stop, instead",,,,
96,Trial #12,14,9,"style, wear, jacket, dress, shirt, color, clothing, suit, fit, classic, casual, wardrobe, pair, old, shoe, love, outfit, check, piece, blazer, list, leather, add, winter, design",,,,
97,Trial #12,14,10,"girl, woman, attractive, number, shoe, mean, bad, notice, eye, date, dude, somebody, wear, tell, ask, sneaker, foot, second, instead, friend, kid, sexy, rolex, high, point",,,,
98,Trial #12,14,11,"hair, hairstyle, product, beard, long, face, style, grow, cut, easy, sure, body, shape, add, help, type, texture, dry, old, scalp, number, natural, high, head, mean",,,,
99,Trial #12,14,12,"fragrance, scent, cologne, note, check, smell, body, definitely, fresh, summer, wear, recommend, warm, list, love, clean, smooth, woody, masculine, long, crisp, spicy, base, wash, citrus",,,,
100,Trial #12,14,13,"skin, face, apply, wash, product, skincare, eye, routine, oil, moisturizer, step, help, water, body, acne, second, number, ingredient, pore, minute, dry, morning, sure, area, acid",,,,
101,Trial #12,14,14,"life, woman, level, help, testosterone, new, old, relationship, focus, goal, long, change, health, build, money, easy, self, important, today, tell, care, hard, body, stay, lead",,,,
102,Trial #13,15,1,"wear, shirt, fit, pants, dress, outfit, shoe, short, color, belt, button, long, style, casual, collar, sleeve, sure, big, black, nice, suit, jeans, polo, mean, jacket",,,,
103,Trial #13,15,2,"life, help, love, mean, learn, money, change, friend, body, number, tell, new, stop, live, hard, big, somebody, old, today, woman, goal, easy, happen, build, reason",,,,
104,Trial #13,15,3,"wear, color, jacket, shirt, pair, suit, casual, style, outfit, black, brown, sweater, shoe, fit, white, dress, light, nice, leather, sneaker, different, boot, blue, suede, dark",,,,
105,Trial #13,15,4,"car, factor, wallet, meal, small, desk, brand, pretty, end, super, nice, gift, key, phone, stuff, size, card, love, different, high, eat, option, big, leather, new",,,,
106,Trial #13,15,5,"fragrance, smell, wear, scent, love, note, bottle, different, space, compliment, new, house, nice, spray, place, beautiful, light, absolutely, sense, mean, check, unique, fresh, amazing, tell",,,,
107,Trial #13,15,6,"wear, shoe, boot, brand, money, love, new, high, fit, quality, bag, pretty, case, spend, long, mean, pair, leather, size, cheap, big, check, nice, stuff, style",,,,
108,Trial #13,15,7,"new, wine, love, mean, cool, pretty, stuff, sort, okay, house, big, nice, different, question, long, today, happen, brand, tell, place, set, thank, sure, youtube, launch",,,,
109,Trial #13,15,8,"number, body, sleep, bad, sperm, underwear, hair, shave, drink, bed, minute, wake, shower, mode, room, hour, temperature, study, second, high, stop, tooth, morning, increase, group",,,,
110,Trial #13,15,9,"style, wear, jacket, dress, shirt, color, suit, fit, clothing, classic, casual, shoe, pair, wardrobe, old, outfit, leather, love, check, blazer, piece, add, especially, design, jeans",,,,
111,Trial #13,15,10,"girl, woman, attractive, number, mean, eye, ask, date, tell, somebody, second, bad, friend, notice, instead, smile, wear, love, understand, dude, contact, attract, point, conversation, learn",,,,
112,Trial #13,15,11,"hair, hairstyle, product, beard, long, face, style, grow, cut, easy, sure, shape, body, type, help, add, texture, dry, old, scalp, shave, natural, high, mean, number",,,,
113,Trial #13,15,12,"fragrance, cologne, scent, note, check, summer, body, definitely, warm, fresh, recommend, smell, list, clean, smooth, crisp, woody, masculine, wash, wear, love, long, spicy, base, highly",,,,
114,Trial #13,15,13,"skin, face, apply, wash, product, skincare, routine, oil, moisturizer, eye, help, step, water, acne, body, second, ingredient, pore, number, minute, dry, morning, area, sure, acid",,,,
115,Trial #13,15,14,"woman, life, level, help, old, testosterone, relationship, confidence, new, self, respect, focus, build, care, important, long, style, health, easy, body, sure, lead, tell, value, today",,,,
116,Trial #13,15,15,"hat, winter, car, bond, wear, james, old, sexy, dude, love, number, drive, link, movie, smell, notice, scarf, long, amazing, opinion, gentleman, big, bad, age, month",,,,
