,Trial #,# of Topics,Topic #,Top Words,Label(s),Interpretability,Related or Similar to,Notes
41,Trial #7,9,9,"style, wear, dress, jacket, old, classic, clothing, wardrobe, casual, list, fit, shirt, color, love, check, suit, pair, shoe, recommend, add, winter, choice, quality, design, piece",,,,
42,Trial #8,10,1,"wear, shirt, fit, dress, shoe, pants, short, color, belt, suit, outfit, style, long, button, sure, big, collar, jeans, casual, sleeve, jacket, black, mean, different, nice",,,,
43,Trial #8,10,2,"life, woman, help, new, friend, tell, mean, change, learn, old, love, relationship, self, today, goal, stop, money, hard, build, confidence, respect, number, easy, care, somebody",,,,
44,Trial #8,10,3,"wear, jacket, color, pair, shirt, casual, boot, outfit, sweater, black, shoe, brown, suit, style, white, sneaker, leather, dress, nice, light, fit, blue, dark, suede, different",,,,
45,Trial #8,10,4,"car, meal, small, eat, room, phone, factor, desk, end, super, pretty, gift, wallet, key, nice, love, old, cool, fat, drive, calorie, big, link, light, house",,,,
46,Trial #8,10,5,"fragrance, smell, scent, note, wear, cologne, love, check, fresh, warm, definitely, bottle, recommend, list, compliment, different, base, masculine, nice, woody, spray, spicy, light, clean, beautiful",,,,
47,Trial #8,10,6,"brand, wear, money, love, new, pretty, spend, quality, case, high, big, mean, stuff, bag, nice, long, cheap, okay, small, size, price, shoe, cool, expensive, check",,,,
48,Trial #8,10,7,"body, testosterone, wine, level, old, help, skin, check, health, wash, sleep, clean, razor, vitamin, love, reduce, sure, drink, blood, natural, big, long, definitely, healthy, night",,,,
49,Trial #8,10,8,"hair, hairstyle, product, long, face, beard, body, grow, style, cut, oil, number, shower, help, easy, bad, water, shave, sure, high, skin, dry, type, texture, add",,,,
50,Trial #8,10,9,"style, wear, dress, jacket, classic, clothing, color, old, casual, shirt, wardrobe, fit, suit, pair, list, shoe, love, check, winter, add, piece, design, especially, recommend, leather",,,,
51,Trial #8,10,10,"skin, face, girl, eye, attractive, number, skincare, second, product, woman, apply, routine, step, moisturizer, wash, mean, acne, hand, notice, help, instead, study, body, bad, minute",,,,
52,Trial #9,11,1,"wear, shirt, fit, shoe, dress, pants, short, belt, color, outfit, suit, long, style, button, sure, big, collar, jeans, sleeve, casual, mean, black, jacket, nice, inch",,,,
53,Trial #9,11,2,"life, woman, help, new, mean, tell, friend, change, learn, old, love, relationship, self, today, money, confidence, goal, hard, build, respect, care, somebody, understand, stop, easy",,,,
54,Trial #9,11,3,"wear, jacket, color, pair, shirt, casual, boot, outfit, sweater, black, suit, brown, shoe, style, white, dress, sneaker, leather, light, nice, blue, dark, fit, different, suede",,,,
55,Trial #9,11,4,"car, meal, small, super, factor, desk, cool, pretty, old, phone, gift, nice, space, love, drive, room, light, key, house, stuff, big, sort, home, wallet, eat",,,,
56,Trial #9,11,5,"fragrance, smell, scent, note, wear, cologne, love, check, fresh, warm, definitely, bottle, recommend, list, compliment, base, spray, masculine, woody, spicy, different, smooth, clean, citrus, unique",,,,
57,Trial #9,11,6,"brand, wear, money, love, new, pretty, spend, quality, case, bag, high, nice, mean, big, stuff, cheap, small, size, price, shoe, long, okay, expensive, leather, check",,,,
58,Trial #9,11,7,"wine, body, help, old, level, health, wash, check, long, skin, sure, razor, big, love, testosterone, clean, sort, free, natural, blood, reduce, definitely, shave, mean, today",,,,
59,Trial #9,11,8,"body, number, sleep, testosterone, eat, fat, level, minute, morning, increase, study, bad, high, brain, drink, hour, food, habit, stop, wake, bed, second, healthy, water, low",,,,
60,Trial #9,11,9,"style, wear, dress, jacket, classic, clothing, color, shirt, old, fit, wardrobe, casual, suit, pair, shoe, list, love, check, design, outfit, piece, add, leather, winter, recommend",,,,
61,Trial #9,11,10,"skin, face, eye, apply, girl, skincare, product, wash, attractive, routine, moisturizer, step, number, oil, second, help, acne, bad, mean, hand, tooth, pore, type, water, ingredient",,,,
62,Trial #9,11,11,"hair, hairstyle, beard, long, product, face, style, grow, cut, easy, sure, add, shape, texture, help, type, super, head, shave, dry, old, scalp, different, big, oil",,,,
63,Trial #10,12,1,"wear, shirt, fit, shoe, pants, short, dress, belt, outfit, long, color, button, style, sure, suit, big, sleeve, collar, jeans, casual, mean, inch, nice, black, different",,,,
64,Trial #10,12,2,"life, woman, help, new, learn, change, friend, old, tell, relationship, self, mean, confidence, love, money, respect, build, today, goal, hard, care, understand, somebody, easy, stop",,,,
65,Trial #10,12,3,"wear, jacket, color, pair, shirt, casual, boot, outfit, sweater, shoe, black, brown, suit, style, sneaker, white, dress, leather, light, nice, blue, fit, dark, different, suede",,,,
66,Trial #10,12,4,"car, meal, small, factor, wallet, phone, desk, gift, key, super, calorie, pretty, drive, card, old, nice, brand, eat, love, light, size, room, different, link, big",,,,
67,Trial #10,12,5,"fragrance, smell, wear, scent, love, note, different, bottle, compliment, nice, house, space, beautiful, spray, new, place, light, absolutely, unique, amazing, sense, fresh, apartment, tell, bedroom",,,,
68,Trial #10,12,6,"brand, wear, money, love, new, spend, quality, case, bag, high, pretty, big, stuff, cheap, long, small, nice, mean, price, check, expensive, size, dial, rolex, okay",,,,
69,Trial #10,12,7,"wine, sort, mean, new, love, big, cool, pretty, old, stuff, okay, different, happen, question, kid, tell, today, amazing, sure, house, thank, live, course, long, point",,,,
70,Trial #10,12,8,"body, number, testosterone, sleep, level, eat, increase, minute, morning, fat, high, drink, study, brain, habit, vitamin, hour, healthy, bad, wake, bed, stop, health, low, reduce",,,,
71,Trial #10,12,9,"style, wear, dress, jacket, color, suit, shirt, clothing, classic, fit, wardrobe, casual, old, pair, shoe, love, check, piece, outfit, especially, design, list, leather, add, blazer",,,,
72,Trial #10,12,10,"skin, face, eye, apply, skincare, product, girl, wash, routine, step, moisturizer, number, second, oil, attractive, help, acne, tooth, bad, water, mean, pore, ingredient, cause, type",,,,
73,Trial #10,12,11,"hair, hairstyle, beard, long, product, face, style, grow, cut, shave, easy, sure, shape, help, texture, old, add, type, body, super, dry, head, grooming, scalp, natural",,,,
74,Trial #10,12,12,"cologne, scent, fragrance, check, summer, body, definitely, note, recommend, warm, list, fresh, clean, smooth, skin, wash, smell, crisp, woody, highly, long, masculine, love, spicy, base",,,,
75,Trial #11,13,1,"wear, shirt, fit, shoe, pants, short, dress, outfit, belt, color, long, button, style, sure, suit, big, sleeve, collar, jeans, casual, nice, black, mean, polo, inch",,,,
76,Trial #11,13,2,"life, woman, help, old, new, relationship, learn, confidence, self, respect, change, build, money, goal, friend, hard, today, care, easy, tell, live, important, focus, love, mean",,,,
77,Trial #11,13,3,"wear, jacket, color, shirt, pair, casual, sweater, outfit, boot, suit, black, brown, style, white, shoe, dress, light, sneaker, blue, nice, dark, leather, suede, different, fit",,,,
78,Trial #11,13,4,"car, meal, factor, small, desk, super, gift, old, drive, calorie, eat, pretty, big, nice, love, room, stuff, light, phone, protein, cool, home, link, basically, fat",,,,
79,Trial #11,13,5,"fragrance, smell, wear, scent, love, note, different, bottle, house, nice, space, compliment, beautiful, place, spray, new, light, absolutely, room, sense, apartment, unique, bedroom, amazing, tell",,,,
80,Trial #11,13,6,"wear, brand, money, love, shoe, quality, new, bag, case, high, spend, leather, size, cheap, pretty, price, small, check, carry, expensive, stuff, millimeter, nice, dial, long",,,,
81,Trial #11,13,7,"new, wine, mean, love, big, sort, pretty, okay, stuff, cool, question, happen, long, different, today, tell, sure, week, thank, help, course, yes, ask, ago, old",,,,
82,Trial #11,13,8,"body, number, testosterone, sleep, level, eat, increase, minute, study, high, fat, morning, bad, brain, drink, habit, hour, vitamin, stop, healthy, food, low, wake, bed, instead",,,,
83,Trial #11,13,9,"style, wear, dress, jacket, color, suit, clothing, shirt, classic, fit, casual, wardrobe, shoe, pair, old, love, check, outfit, design, piece, list, leather, especially, add, winter",,,,
84,Trial #11,13,10,"girl, woman, attractive, somebody, dude, number, mean, tell, bad, love, ask, date, notice, eye, friend, amazing, second, change, stop, kid, understand, super, point, sexy, smile",,,,
85,Trial #11,13,11,"hair, hairstyle, beard, long, style, product, face, grow, cut, easy, shave, shape, sure, old, texture, type, add, help, scalp, head, dry, high, natural, haircut, super",,,,
86,Trial #11,13,12,"cologne, fragrance, scent, note, check, summer, definitely, fresh, body, list, warm, recommend, smell, clean, smooth, crisp, woody, masculine, spicy, love, long, base, highly, combine, wash",,,,
87,Trial #11,13,13,"skin, face, wash, apply, product, skincare, routine, oil, eye, moisturizer, help, step, water, body, acne, second, ingredient, pore, area, dry, tooth, number, geology, cause, hand",,,,
88,Trial #12,14,1,"wear, shirt, fit, short, pants, shoe, dress, belt, outfit, color, long, button, style, sure, suit, sleeve, big, collar, jeans, casual, inch, nice, mean, black, polo",,,,
89,Trial #12,14,2,"life, help, change, friend, learn, love, mean, tell, new, money, live, stop, hard, today, number, easy, big, social, somebody, old, body, happen, build, woman, self",,,,
90,Trial #12,14,3,"wear, jacket, color, pair, shirt, casual, sweater, outfit, black, boot, brown, suit, style, shoe, white, sneaker, dress, light, nice, blue, leather, dark, suede, different, option",,,,
91,Trial #12,14,4,"car, wallet, meal, factor, small, phone, desk, end, key, super, drive, gift, old, eat, card, pretty, nice, scarf, protein, love, stuff, link, upgrade, long, calorie",,,,
92,Trial #12,14,5,"fragrance, smell, wear, scent, love, different, space, bottle, house, nice, note, room, place, beautiful, light, spray, new, compliment, absolutely, sense, apartment, bedroom, amazing, set, tell",,,,
93,Trial #12,14,6,"wear, brand, money, love, shoe, quality, new, bag, high, case, spend, size, leather, pretty, cheap, price, small, check, expensive, fit, millimeter, dial, stuff, boot, long",,,,
94,Trial #12,14,7,"new, wine, love, mean, sort, pretty, cool, stuff, okay, big, question, happen, different, thank, house, long, tell, kid, couple, ask, today, nice, yes, hat, youtube",,,,
95,Trial #12,14,8,"body, number, sleep, minute, drink, study, eat, bad, fat, increase, morning, high, hour, testosterone, level, habit, reduce, food, bed, wake, underwear, shave, low, instead, tooth",,,,
96,Trial #12,14,9,"style, wear, dress, jacket, suit, color, clothing, shirt, classic, fit, casual, wardrobe, old, shoe, pair, love, check, outfit, especially, piece, design, list, blazer, leather, add",,,,
97,Trial #12,14,10,"woman, girl, attractive, dude, somebody, number, mean, sexy, notice, eye, bad, date, smile, tell, super, amazing, ask, second, body, attract, smell, contact, sign, walk, boy",,,,
98,Trial #12,14,11,"hair, hairstyle, beard, long, product, style, face, grow, cut, easy, shape, sure, old, texture, type, add, help, scalp, dry, natural, haircut, shave, head, high, grooming",,,,
99,Trial #12,14,12,"fragrance, scent, cologne, note, summer, check, definitely, fresh, list, warm, recommend, smell, body, clean, smooth, woody, masculine, crisp, love, spicy, wear, base, long, highly, sweet",,,,
100,Trial #12,14,13,"skin, face, wash, apply, product, skincare, routine, oil, eye, moisturizer, help, step, body, water, acne, second, ingredient, pore, dry, number, geology, area, sure, cause, minute",,,,
101,Trial #12,14,14,"life, woman, help, level, relationship, old, new, confidence, focus, self, important, goal, respect, testosterone, build, health, value, care, lead, long, stay, experience, control, easy, realize",,,,
102,Trial #13,15,1,"wear, shirt, fit, short, pants, shoe, dress, belt, outfit, long, button, color, sleeve, sure, style, big, collar, jeans, casual, polo, suit, black, nice, inch, mean",,,,
103,Trial #13,15,2,"life, help, change, money, learn, mean, new, friend, love, tell, hard, live, number, stop, goal, big, today, easy, somebody, happen, old, build, job, basically, body",,,,
104,Trial #13,15,3,"wear, jacket, color, pair, outfit, casual, sweater, shirt, brown, black, suit, style, white, boot, light, nice, blue, shoe, sneaker, suede, leather, fit, dark, dress, piece",,,,
105,Trial #13,15,4,"car, wallet, small, meal, factor, phone, desk, key, gift, card, super, nice, pretty, bag, carry, brand, stuff, protein, light, eat, upgrade, laptop, easy, backpack, love",,,,
106,Trial #13,15,5,"fragrance, smell, wear, scent, love, note, different, bottle, space, house, spray, beautiful, nice, compliment, new, place, light, absolutely, unique, amazing, sense, creed, check, original, tell",,,,
107,Trial #13,15,6,"wear, brand, money, shoe, love, quality, new, case, high, boot, bag, size, spend, pretty, cheap, leather, price, check, millimeter, small, expensive, dial, rolex, long, mean",,,,
108,Trial #13,15,7,"new, wine, love, cool, sort, mean, pretty, stuff, okay, big, question, house, different, nice, thank, happen, long, youtube, brand, place, tell, kid, couple, launch, course",,,,
109,Trial #13,15,8,"body, number, testosterone, sleep, fat, bad, increase, eat, study, tooth, high, drink, minute, level, reduce, morning, food, low, hour, shave, water, bed, second, breath, wake",,,,
110,Trial #13,15,9,"style, wear, dress, jacket, color, suit, shirt, clothing, classic, shoe, fit, casual, pair, wardrobe, old, outfit, leather, especially, check, piece, love, design, blazer, boot, add",,,,
111,Trial #13,15,10,"woman, girl, attractive, number, eye, date, mean, notice, ask, somebody, conversation, tell, dude, smile, second, friend, attract, body, contact, understand, walk, instead, language, meet, love",,,,
112,Trial #13,15,11,"hair, hairstyle, beard, long, product, face, style, grow, cut, easy, shape, old, sure, type, texture, help, add, scalp, dry, haircut, grooming, super, natural, head, high",,,,
113,Trial #13,15,12,"scent, cologne, fragrance, summer, check, note, definitely, warm, list, fresh, recommend, body, clean, smooth, crisp, masculine, woody, highly, spicy, love, smell, base, wash, combine, long",,,,
114,Trial #13,15,13,"skin, face, apply, product, wash, skincare, routine, oil, moisturizer, eye, help, step, water, acne, body, ingredient, second, pore, dry, geology, area, number, minute, sure, type",,,,
115,Trial #13,15,14,"woman, life, help, level, old, relationship, confidence, respect, self, focus, important, new, care, value, build, style, lead, control, stay, experience, health, easy, sure, realize, long",,,,
116,Trial #13,15,15,"hat, winter, car, bond, james, scarf, wear, end, long, love, movie, sexy, drive, scarve, old, basically, amazing, gentleman, link, cold, knot, number, big, opinion, neck",,,,
